Pst104EDG
Pst104ETrueSeq
031603OriginalS13
28repS12
28S6
332repS8
332S2
335repS7
335S1
13805H9TWCADXX
13806AMKYN
13807AMHP2
021510OriginalS10
041501OriginalS12
061639OriginalS14
091545OriginalS11
101502OriginalS9
101975OriginalS17
111627OriginalS16
131518OriginalS15
DK0911gDNA
L17repS11
L17S5
LIB2414
LIB2415
LIB2416
LIB2417
LIB2419R1
LIB2420
LIB2423
LIB2427
LIB3542
LIB3543
LIB3544
LIB3545
LIB3546
LIB3680
LIB3681
LIB3682
LIB3683
LIB3684
LIB4156
LIB4157
LIB4158
LIB4159
LIB4160
LIB4161
LIB4162
LIB4163
LIB4164
LIB4166
LIB4167
LIB4168
LIB4169
LIB4170
Pst-WA-WC
Q17repS9
Q17S3
S00832A
S00832B
S008320
S008321
S008322
S008323
S008324
S008325
S008326
S008327
S008328
S008329
ERR3856807
ERR3856808
ERR3856809
ERR3856810
ERR3856811
ERR3856812
ERR3856826
ERR3856827
ERR3856828
ERR3856829
SRR9825536
SRR10829480
SRR10829481
SRR058505
SRR058506
SRR653637
SRR653722
SRR653735
SRR653740
SRR653741
SRR769507
SRR172666
SRR172669
SRR172667
SRR172672
SRR172668
SRR172671
SRR172673
SRR354036
SRR247931
SRR172670
SRR172674
SRR305202
SRR305301
SRR354203
SRR987408
SRR247941
SRR987407
SRR987409
SRR987410
SRR11414077
SRR1533752
SRR1533791
SRR1533792
SRR1533793
SRR1534174
SRR1534190
SRR1534208
SRR1534347
SRR1534348
SRR1534359
SRR1534385
SRR1534386
SRR1534393
SRR1538789
SRR1538830
SRR1539204
SRR1539205
SRR1539263
SRR1539285
SRR1539286
SRR8208848
SRR8601347
SRR8601365
SRR8601595
SRR13799078
SRR13799079
SRR13799080
SRR13799081
SRR13781819
SRR13781820
SRR13823726
SRR13823727
Pst104E_S1
Pst136_2017_S3
Pst136_WJ_S4
Pst150_S7
Pst239_2020_S6
Pst239_WW_S5
PstWJ_J_S2
PstWW_2019M_S8
